Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
IVTT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-0,40%",0.0,1083050000.0,0.0,"20,67%"
CSTB3,150.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
CSTB4,147.69,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%"
CFLU4,1000.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,88%","10,72%",1.1,"17,68%","32,15%",0.0,60351000.0,0.06,"8,14%"
PORP4,2.4,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,08%",0.0,22399000.0,0.0,"13,66%"
CLAN3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-1,05%",0.0,1012240000.0,0.0,"-63,96%"
MNSA3,0.42,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
PMET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,10%",0.0,-290863000.0,0.0,"37,74%"
POPR4,10.17,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,66%","5,65%",1.08,"15,25%","19,93%",0.0,545803000.0,0.82,"30,93%"
MNSA4,0.47,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%"
BBTG12,3.15,-132993.0,29554.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-22,22%",0.0,9000.0,0.0,"0,00%"
QUAL3,2.89,-4043.35,0.6,0.443,"2,74%",0.179,7.01,1.73,-0.45,4.61,2.37,"25,65%","0,42%",1.09,"13,95%","-0,01%",15336400.0,1379470000.0,1.63,"-0,75%"
